#Sample,Regressor_0_NPV,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
605,373934.843750,335822.789414,0.000000,303233.029173,303156.862540,-146473.783618,306203.800780
606,380420.500000,335902.796231,0.000000,303233.029173,303156.862540,-46921.438321,306203.800780
607,388644.718750,336004.038624,0.000000,303233.029173,303156.862540,299513.992307,306203.800780
608,389616.406250,336015.984769,0.000000,303233.029173,303156.862540,51278.255281,306203.800780
609,393327.781250,336061.582927,0.000000,303233.029173,303156.862540,124927.533710,306203.800780
610,394301.781250,336073.541586,0.000000,303233.029173,303156.862540,323784.111390,306203.800780
611,397233.406250,336109.515771,0.000000,303233.029173,303156.862540,-55355.399316,306203.800780
612,398950.687500,336130.574738,0.000000,303233.029173,303156.862540,-63542.472427,306203.800780
613,400442.750000,336148.863508,0.000000,303233.029173,303156.862540,-36061.571694,306203.800780
614,407394.593750,336233.972594,0.000000,303233.029173,303156.862540,117356.104865,306203.800780
615,413096.250000,336303.650422,0.000000,303233.029173,303156.862540,107803.097007,306203.800780
616,418520.343750,336369.831245,0.000000,303233.029173,303156.862540,223230.043183,306203.800780
617,430099.718750,336510.771956,0.000000,303233.029173,303156.862540,-130979.637799,306203.800780
618,430853.875000,336519.935159,0.000000,303233.029173,303156.862540,111162.353917,306203.800780
619,443841.093750,336677.423562,0.000000,303233.029173,303156.862540,-172946.973202,306203.800780
620,453490.781250,336794.060768,0.000000,303233.029173,303156.862540,58064.368844,306203.800780
621,456013.937500,336824.505303,0.000000,303233.029173,303156.862540,-103379.999563,306203.800780
622,456895.687500,336835.139344,0.000000,303233.029173,303156.862540,-212067.503112,306203.800780
623,460396.093750,336877.328218,0.000000,303233.029173,303156.862540,21055.211506,306203.800780
624,460638.968750,336880.253910,0.000000,303233.029173,303156.862540,-169723.260421,306203.800780
625,474891.687500,337051.585843,0.000000,303233.029173,303156.862540,-155038.957064,306203.800780
626,474918.937500,337051.912742,0.000000,303233.029173,303156.862540,88575.204343,306203.800780
627,476312.468750,337068.626542,0.000000,303233.029173,303156.862540,-61128.281789,306203.800780
628,477752.375000,337085.889505,0.000000,303233.029173,303156.862540,-55742.233742,306203.800780
629,479984.437500,337112.635426,0.000000,303233.029173,303156.862540,339725.057798,306203.800780
630,482864.375000,337147.119141,0.004544,303233.029173,303156.862540,146932.198508,306203.800780
631,485522.937500,337178.926731,0.000000,303233.029173,303156.862540,-215291.197399,306203.800780
632,486304.937500,337188.278094,0.000000,303233.029173,303156.862540,174614.606913,306203.800780
633,488626.156250,337216.023407,0.000000,303233.029173,303156.862540,17516.751400,306203.800780
634,493961.375000,337279.724280,0.000000,303233.029173,303156.862540,31268.224642,306203.800780
635,494885.031250,337290.742478,0.000000,303233.029173,303156.862540,12573.729163,306203.800780
636,504857.468750,337409.515249,0.000000,303233.029173,303156.862540,-54800.858236,306203.800780
637,508102.562500,337448.090727,0.000000,303233.029173,303156.862540,127727.880142,306203.800780
638,508511.312500,337452.947097,0.000000,303233.029173,303156.862540,239251.297826,306203.800780
639,510203.281250,337473.043304,0.000000,303233.029173,303156.862540,22663.255381,306203.800780
640,514651.187500,337525.825885,0.000000,303233.029173,303156.862540,90114.044901,306203.800780
641,515017.750000,337530.172784,0.000000,303233.029173,303156.862540,-77192.669403,306203.800780
642,515598.125000,337537.054243,0.000000,303233.029173,303156.862540,132249.410706,306203.800780
643,515772.125000,337539.117121,0.000000,303233.029173,303156.862540,43578.516877,306203.800780
644,516939.250000,337552.951418,0.003213,303233.029173,303156.862540,-89486.078326,306203.800780
645,532263.562500,337734.160574,0.000000,303233.029173,303156.862540,-66218.944890,306203.800780
646,541383.000000,337841.614333,0.000000,303233.029173,303156.862540,-125343.088951,306203.800780
647,542891.875000,337859.365777,0.000000,303233.029173,303156.862540,-100199.654452,306203.800780
648,543361.812500,337864.892849,0.000000,303233.029173,303156.862540,-174327.758052,306203.800780
649,544093.000000,337873.491052,0.000000,303233.029173,303156.862540,-49620.968439,306203.800780
650,547245.250000,337910.538081,0.000000,303233.029173,303156.862540,-97416.466062,306203.800780
651,552364.500000,337970.629775,0.000000,303233.029173,303156.862540,-51960.215137,306203.800780
652,555152.000000,338003.312712,0.000000,303233.029173,303156.862540,-195248.308026,306203.800780
653,556923.937500,338024.074512,0.000000,303233.029173,303156.862540,-16397.081075,306203.800780
654,562777.062500,338092.579132,0.000000,303233.029173,303156.862540,143254.510543,306203.800780
655,568502.187500,338159.472115,0.000000,303233.029173,303156.862540,-17571.136998,306203.800780
656,570579.062500,338183.710808,0.000000,303233.029173,303156.862540,-94339.062571,306203.800780
657,574545.250000,338229.958186,0.000000,303233.029173,303156.862540,205932.404838,306203.800780
658,577237.312500,338261.318078,0.000000,303233.029173,303156.862540,26919.341109,306203.800780
659,584157.562500,338341.818472,0.000000,303233.029173,303156.862540,-102051.651783,306203.800780
660,585489.250000,338357.290656,0.000000,303233.029173,303156.862540,67293.378720,306203.800780
661,588549.812500,338392.826772,0.000000,303233.029173,303156.862540,-44092.146839,306203.800780
