#Sample,Regressor_0_USD,Regressor_1_GBP,Regressor_2_EUR-EURIBOR-3M,Regressor_3_USD-LIBOR-3M,Regressor_4_GBP-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
139,0.843365,1.275931,-0.002250,0.004859,0.002471,3287683.252559,0.000000,3123367.199325,3125613.409752,29713.533517,3046376.959391
140,0.843399,1.238512,-0.001784,0.009767,0.008528,3004438.324327,0.000000,3123367.199325,3125613.409752,990531.109971,3046376.959391
141,0.843498,1.187457,0.002365,0.011340,0.010323,2992298.209726,0.000000,3123367.199325,3125613.409752,35725.569531,3046376.959391
142,0.843500,1.228951,-0.001824,0.010593,0.004299,3005638.773457,0.000000,3123367.199325,3125613.409752,-185916.750951,3046376.959391
143,0.843514,1.205878,-0.004426,0.007596,0.010559,2961853.882392,0.000000,3123367.199325,3125613.409752,-1692092.564033,3046376.959391
144,0.843556,1.214544,-0.003225,0.010277,0.009946,2898641.916211,0.000000,3123367.199325,3125613.409752,-1276474.238756,3046376.959391
145,0.843612,1.186175,-0.000181,0.007079,0.004760,3152062.049382,0.000000,3123367.199325,3125613.409752,-1993901.014916,3046376.959391
146,0.843642,1.260770,-0.000294,0.005487,0.005212,3275813.344495,0.000000,3123367.199325,3125613.409752,514549.323506,3046376.959391
147,0.843684,1.271302,0.002902,0.008414,0.007697,3234724.887567,0.000000,3123367.199325,3125613.409752,-2738135.256445,3046376.959391
148,0.843753,1.215460,-0.002233,0.005785,0.004630,3174278.447094,0.000000,3123367.199325,3125613.409752,839218.269032,3046376.959391
149,0.843770,1.242138,-0.004351,0.005923,0.005621,3122844.302965,0.000000,3123367.199325,3125613.409752,801629.001302,3046376.959391
150,0.843930,1.244419,0.003070,0.009251,0.007639,3182167.350085,0.000000,3123367.199325,3125613.409752,797684.005078,3046376.959391
151,0.844137,1.238393,0.002470,0.011646,0.008062,3057464.001985,0.000000,3123367.199325,3125613.409752,120972.777564,3046376.959391
152,0.844250,1.212626,-0.001174,0.008353,0.006334,3080147.495462,0.000000,3123367.199325,3125613.409752,2074739.406190,3046376.959391
153,0.844272,1.232667,-0.004091,0.007233,0.004193,3083220.933083,0.000000,3123367.199325,3125613.409752,-306367.605824,3046376.959391
154,0.844373,1.224908,-0.004262,0.004357,0.008842,3138520.053048,0.000000,3123367.199325,3125613.409752,-627136.664350,3046376.959391
155,0.844427,1.208662,0.000916,0.006730,0.006711,3197901.900893,0.000000,3123367.199325,3125613.409752,617737.159102,3046376.959391
156,0.844450,1.227084,-0.004150,0.007293,0.007502,3037837.101302,0.000000,3123367.199325,3125613.409752,1313746.966053,3046376.959391
157,0.844569,1.261371,-0.002475,0.006346,0.008259,3150176.979826,0.000000,3123367.199325,3125613.409752,208239.197511,3046376.959391
158,0.844591,1.214535,-0.000138,0.008156,0.008214,3100183.277105,0.000000,3123367.199325,3125613.409752,3298865.910199,3046376.959391
159,0.844609,1.245861,0.000773,0.009812,0.005585,3117018.560099,0.000000,3123367.199325,3125613.409752,1583060.208871,3046376.959391
160,0.844744,1.239812,0.001730,0.009730,0.011534,3078872.341138,0.000000,3123367.199325,3125613.409752,1062621.770118,3046376.959391
161,0.844971,1.193688,0.001156,0.010393,0.009408,3012526.313174,0.000000,3123367.199325,3125613.409752,1031473.283403,3046376.959391
162,0.845005,1.236358,-0.003670,0.007116,0.009000,3052264.646135,0.000000,3123367.199325,3125613.409752,-386412.232254,3046376.959391
163,0.845047,1.261736,0.002930,0.008638,0.010601,3188165.182398,0.000000,3123367.199325,3125613.409752,398273.312398,3046376.959391
164,0.845069,1.173614,0.002963,0.009483,0.007695,3102568.046533,0.000000,3123367.199325,3125613.409752,421236.319598,3046376.959391
165,0.845120,1.233867,-0.000316,0.009503,0.008969,3050149.641904,3125424.865821,3123367.199325,3125613.409752,-3005202.808660,3046376.959391
166,0.845127,1.255085,0.000032,0.004911,0.008535,3268593.425710,0.000000,3123367.199325,3125613.409752,-995589.526840,3046376.959391
167,0.845162,1.219214,-0.000500,0.008724,0.010431,3046963.934567,0.000000,3123367.199325,3125613.409752,-295519.794398,3046376.959391
168,0.845178,1.280175,-0.003089,0.004458,0.000388,3305258.671527,0.000000,3123367.199325,3125613.409752,1819880.548197,3046376.959391
169,0.845181,1.237522,-0.003164,0.008918,0.007629,3008202.181030,0.000000,3123367.199325,3125613.409752,2355116.910303,3046376.959391
170,0.845227,1.230855,-0.001932,0.008404,0.008324,3052167.247707,0.000000,3123367.199325,3125613.409752,-68256.825910,3046376.959391
171,0.845475,1.253886,0.000461,0.004800,0.004556,3323527.965708,0.000000,3123367.199325,3125613.409752,1317907.462673,3046376.959391
172,0.845630,1.162394,-0.001326,0.011305,0.005409,2911595.639251,0.000000,3123367.199325,3125613.409752,-631529.042026,3046376.959391
173,0.845643,1.173978,-0.002998,0.006771,-0.000004,3122761.905329,0.000000,3123367.199325,3125613.409752,-940511.509924,3046376.959391
174,0.845645,1.290442,-0.000616,0.005761,0.004205,3293773.184415,0.000000,3123367.199325,3125613.409752,-91166.333342,3046376.959391
175,0.845717,1.264378,-0.001190,0.006477,0.006112,3206785.779396,0.000000,3123367.199325,3125613.409752,-781507.253554,3046376.959391
176,0.845751,1.215268,-0.000353,0.009229,0.001728,3120276.452381,0.000000,3123367.199325,3125613.409752,924225.357969,3046376.959391
177,0.845779,1.179594,-0.003812,0.005751,0.007235,3068780.889151,0.000000,3123367.199325,3125613.409752,-1505882.234547,3046376.959391
178,0.845880,1.283064,-0.004330,0.006535,0.003938,3155657.055156,0.000000,3123367.199325,3125613.409752,90688.167189,3046376.959391
179,0.845956,1.224262,-0.001567,0.007095,0.008710,3106328.914208,0.000000,3123367.199325,3125613.409752,1767263.337281,3046376.959391
180,0.845988,1.190923,-0.000869,0.008576,0.001650,3109580.233299,0.000000,3123367.199325,3125613.409752,8005.209754,3046376.959391
181,0.846075,1.312470,0.001122,0.014131,0.007206,2995839.057294,0.000000,3123367.199325,3125613.409752,1172892.359525,3046376.959391
182,0.846147,1.251640,-0.004748,0.005464,0.005969,3135837.758671,0.000000,3123367.199325,3125613.409752,1600658.990182,3046376.959391
183,0.846216,1.238356,-0.000997,0.008211,0.003979,3141070.127040,0.000000,3123367.199325,3125613.409752,997208.597683,3046376.959391
184,0.846245,1.232597,-0.004442,0.009543,0.001269,3008953.476155,0.000000,3123367.199325,3125613.409752,3046236.755914,3046376.959391
185,0.846314,1.215635,0.005260,0.011302,0.017071,3034627.063478,0.000000,3123367.199325,3125613.409752,283890.262986,3046376.959391
186,0.846319,1.221674,-0.000958,0.006703,0.010269,3120897.748278,3125426.529529,3123367.199325,3125613.409752,1040247.034301,3046376.959391
187,0.846326,1.265275,-0.002405,0.007797,0.005294,3128970.442869,0.000000,3123367.199325,3125613.409752,459207.140123,3046376.959391
188,0.846358,1.238401,-0.002525,0.006599,0.010614,3091985.961469,0.000000,3123367.199325,3125613.409752,-1047448.688122,3046376.959391
189,0.846403,1.202408,0.004188,0.015292,0.011139,2884382.662285,0.000000,3123367.199325,3125613.409752,-1601351.417537,3046376.959391
190,0.846418,1.240379,-0.001443,0.010834,0.006107,2998866.501108,0.000000,3123367.199325,3125613.409752,498358.564874,3046376.959391
191,0.846467,1.246584,-0.000639,0.010583,0.007055,3029123.143059,0.000000,3123367.199325,3125613.409752,667043.382718,3046376.959391
192,0.846577,1.235844,-0.004322,0.008769,0.007281,2982134.648951,0.000000,3123367.199325,3125613.409752,1165863.557610,3046376.959391
193,0.846646,1.213503,-0.003027,0.001941,0.005574,3291813.744555,0.000000,3123367.199325,3125613.409752,1720899.262493,3046376.959391
194,0.846691,1.216700,0.000136,0.006258,0.010797,3160034.881206,0.000000,3123367.199325,3125613.409752,-1096433.001266,3046376.959391
195,0.846695,1.204386,-0.003860,0.004962,0.001695,3181775.023064,0.000000,3123367.199325,3125613.409752,-368492.334730,3046376.959391
